ID,?��,distance,angle,x,y
3,-5,0.03,345.2910968,120.3642853,23.66718407
3,-5,0.031,344.8724971,120.3640286,23.66815055
3,-5,0.032,343.6389302,120.3637568,23.66911289
3,-5,0.033,342.122997,120.3634557,23.67006642
3,-5,0.034,340.3906375,120.3631313,23.67101229
3,-5,0.035,339.3918993,120.3627821,23.67194931
3,-5,0.036,336.0092563,120.3623904,23.67286928
3,-5,0.037,333.665524,120.3619602,23.67377195
3,-5,0.038,329.8678478,120.3614797,23.67464871
3,-5,0.039,325.6285277,120.3609402,23.67549041
3,-5,0.04,320.6732513,120.3603368,23.6762874
3,-5,0.041,314.8918842,120.3596659,23.6770281
3,-5,0.042,311.147936,120.3589408,23.67771621
3,-5,0.043,305.1331049,120.3581517,23.67832966
3,-5,0.044,300.5477798,120.3573138,23.67887483
3,-5,0.045,295.6795824,120.3564363,23.67935344
3,-5,0.046,290.9778361,120.3555225,23.67975858
3,-5,0.047,287.3622548,120.3545807,23.68009425
3,-5,0.048,281.7095944,120.3536144,23.68035051
3,-5,0.049,276.6895652,120.3526304,23.68052713
3,-5,0.05,271.1637383,120.3516343,23.68061055
3,-5,0.051,266.4281522,120.3506348,23.68060147
3,-5,0.052,262.696743,120.3496385,23.6805169
3,-5,0.053,261.4782554,120.3486477,23.68038207
3,-5,0.054,260.8689179,120.3476592,23.68023073
3,-5,0.055,261.3229538,120.3466715,23.68007428
3,-5,0.056,261.1362896,120.345684,23.67991718
3,-5,0.057,261.414749,120.3446956,23.67976517
3,-5,0.058,261.7217624,120.3437066,23.67961738
3,-5,0.059,261.4346753,120.3427178,23.67946771
3,-5,0.06,261.4756501,120.3417289,23.67931907
3,-5,0.061,261.4635191,120.34074,23.67917107
3,-5,0.062,252.7778695,120.3397583,23.67898994
3,-5,0.063,264.1160166,120.3387783,23.67880745
3,-5,0.064,262.2574866,120.3377871,23.67867639
3,-5,0.065,262.3336329,120.3368016,23.67850893
3,-5,0.066,263.6552941,120.3358344,23.67827815
3,-5,0.067,268.4031803,120.3348378,23.67820028
3,-5,0.068,261.1834271,120.3338407,23.67815952
3,-5,0.069,332.4008319,120.3329175,23.67827891
3,-5,0.07,302.5483388,120.3322358,23.67896615
3,-5,0.071,296.9107777,120.3313369,23.67939945
3,-5,0.072,311.8126462,120.3305203,23.67996975
3,-5,0.073,312.2473618,120.3297804,23.68064201
3,-5,0.074,316.2082495,120.3290614,23.68133657
3,-5,0.075,313.935411,120.328345,23.68203416
3,-5,0.076,312.1005001,120.3276207,23.68272348
3,-5,0.077,310.9007687,120.3268742,23.68338885
3,-5,0.078,308.9083435,120.3260991,23.68402031
3,-5,0.079,302.1642889,120.32528,23.68459334
3,-5,0.08,297.8463771,120.3244182,23.68509947
3,-5,0.081,291.1388142,120.3235154,23.68552709
3,-5,0.082,282.2311183,120.3225656,23.68583681
3,-5,0.083,274.2676773,120.3215786,23.68599031
3,-5,0.084,262.3591201,120.3205816,23.68596841
3,-5,0.085,249.7796901,120.3196122,23.68573519
3,-5,0.086,238.5157245,120.3187051,23.68531842
3,-5,0.087,233.146912,120.317871,23.68476802
3,-5,0.088,230.5999973,120.3170865,23.68414826
3,-5,0.089,229.0796667,120.3163254,23.68349967
3,-5,0.09,229.3687057,120.3155676,23.68284715
3,-5,0.091,230.6140658,120.3148015,23.68220452
3,-5,0.092,231.1111671,120.3140267,23.68157227
3,-5,0.093,227.612008,120.3132654,23.68092433
3,-5,0.094,216.1618918,120.3125918,23.68018924
3,-5,0.095,183.1235659,120.3122435,23.67927034
3,-5,0.096,160.2435673,120.3124102,23.67829533
3,-5,0.097,145.3114138,120.312893,23.6774245
3,-5,0.098,132.0989139,120.3135485,23.67667171
3,-5,0.099,125.8960512,120.314319,23.67603654
3,-5,0.1,119.8777278,120.3151579,23.67549323
3,-5,0.101,114.1068007,120.3160433,23.67502942
3,-5,0.102,109.2201794,120.3169675,23.67464841
3,-5,0.103,104.2067061,120.3179187,23.67434054
3,-5,0.104,104.7595051,120.3188869,23.67409049
3,-5,0.105,97.97600509,120.3198723,23.67392261
3,-5,0.106,94.96928282,120.3208656,23.67380686
3,-5,0.107,92.43870178,120.3218627,23.67373236
3,-5,0.108,90.29846771,120.3228622,23.67370094
3,-5,0.109,88.35699071,120.3238617,23.67371977
3,-5,0.11,86.57643532,120.3248602,23.67377159
3,-5,0.111,87.22963284,120.3258588,23.67382373
3,-5,0.112,88.29454598,120.3268578,23.6738693
3,-5,0.113,90.12085838,120.3278575,23.67389108
3,-5,0.114,94.77326654,120.3288566,23.67385911
3,-5,0.115,102.5353441,120.3298464,23.67372414
3,-5,0.116,112.088421,120.3308074,23.67345324
3,-5,0.117,122.0278636,120.3317104,23.6730267
3,-5,0.118,126.9863262,120.3325351,23.67246308
3,-5,0.119,128.0633824,120.3333173,23.67184045
3,-5,0.12,131.6758183,120.3340723,23.67118607
3,-5,0.121,134.0708882,120.3347786,23.67047854
3,-5,0.122,134.8093359,120.3354883,23.66977426
3,-5,0.123,136.8285424,120.3362554,23.66914192
3,-5,0.124,136.7261532,120.3369377,23.66841096
