ID,下陷??Shape_Leng,angle,x,y,
4,-3,0.051,259.5819779,120.4825286,23.9943768
4,-3,0.052,257.7415066,120.4815482,23.99418043
4,-3,0.053,255.9112123,120.4805748,23.99395141
4,-3,0.054,253.554465,120.4796102,23.99368833
4,-3,0.055,250.7984892,120.4786585,23.99338176
4,-3,0.056,246.2859299,120.4777254,23.99302311
4,-3,0.057,240.6489579,120.4768305,23.99257795
4,-3,0.058,237.9291881,120.4759715,23.99206644
4,-3,0.059,232.9303183,120.475155,23.99148949
4,-3,0.06,227.5766565,120.4743843,23.990853
4,-3,0.061,224.1002287,120.4736654,23.9901582
4,-3,0.062,219.7229948,120.4729951,23.98941644
4,-3,0.063,217.2566736,120.4723701,23.98863592
4,-3,0.064,215.3518736,120.4717779,23.98783022
4,-3,0.065,213.9691963,120.4712069,23.98700934
4,-3,0.066,212.291699,120.4706522,23.98617734
4,-3,0.067,211.6084058,120.4701187,23.98533161
4,-3,0.068,208.8983688,120.4696173,23.98446654
4,-3,0.069,205.365451,120.4691631,23.983576
4,-3,0.07,201.1257301,120.4687751,23.98265472
4,-3,0.071,196.5231346,120.4684671,23.98170365
4,-3,0.072,187.9600541,120.468254,23.98072713
4,-3,0.073,182.3600568,120.4681502,23.9797331
4,-3,0.074,176.074231,120.4681579,23.97873397
4,-3,0.075,169.6564259,120.4682856,23.97774301
4,-3,0.076,162.7842651,120.4685372,23.97677607
4,-3,0.077,155.7939263,120.468912,23.97584975
4,-3,0.078,148.021473,120.4694045,23.97498037
4,-3,0.079,139.5560238,120.4700087,23.97418492
4,-3,0.08,129.735101,120.4707126,23.97347623
4,-3,0.081,125.0263965,120.4715036,23.97286561
4,-3,0.082,119.1035414,120.4723579,23.97234701
4,-3,0.083,130.9685879,120.4731981,23.97180852
4,-3,0.084,149.5553086,120.4737987,23.97101467
4,-3,0.085,149.5326428,120.4742981,23.97014842
4,-3,0.086,144.9436843,120.4748376,23.96930701
4,-3,0.087,139.9125874,120.4754448,23.96851312
4,-3,0.088,132.8736608,120.4761307,23.96778623
4,-3,0.089,128.0198448,120.4768902,23.96713644
4,-3,0.09,121.8162663,120.4777107,23.96656593
4,-3,0.091,116.8881612,120.4785771,23.96606733
4,-3,0.092,114.5996377,120.4794784,23.9656345
4,-3,0.093,98.09928648,120.480432,23.96535996
4,-3,0.094,86.68164205,120.4814306,23.96538671
1,-4,0,261.2219095,120.1857591,23.29687655
1,-4,0.001,265.3279608,120.1847669,23.29675404
1,-4,0.002,269.8182168,120.1837684,23.29670713
1,-4,0.003,275.9740349,120.18277,23.29674879
1,-4,0.004,280.0341742,120.1817796,23.29688433
1,-4,0.005,285.9915843,120.1808056,23.29710792
1,-4,0.006,292.7413315,120.1798615,23.29743504
1,-4,0.007,298.6285758,120.1789576,23.2978615
1,-4,0.008,305.2531273,120.1780973,23.2983704
1,-4,0.009,308.3313494,120.1772938,23.29896521
1,-4,0.01,314.0591173,120.176539,23.29962056
1,-4,0.011,316.5923439,120.1758341,23.30032948
1,-4,0.012,319.9380958,120.175173,23.30107948
1,-4,0.013,324.0567144,120.1745577,23.30186764
1,-4,0.014,326.0530395,120.1739833,23.30268605
1,-4,0.015,329.174633,120.173456,23.30353562
1,-4,0.016,332.4823746,120.1729734,23.30441121
1,-4,0.017,336.0954246,120.1725477,23.30531584
1,-4,0.018,339.7247193,120.172181,23.30624595
1,-4,0.019,344.0307134,120.171883,23.30720021
1,-4,0.02,350.1764978,120.1716606,23.30817489
1,-4,0.021,354.6847626,120.171519,23.30916444
1,-4,0.022,359.3379595,120.1714646,23.31016251
1,-4,0.023,4.036815738,120.1715002,23.31116143
1,-4,0.024,7.676912222,120.171616,23.31215451
1,-4,0.025,14.9064421,120.171822,23.31313274
1,-4,0.026,18.42607128,120.1721008,23.31409289
1,-4,0.027,22.63432945,120.1724501,23.31502962
1,-4,0.028,26.93797088,120.1728598,23.31594149
1,-4,0.029,32.2755636,120.1733441,23.31681579
1,-4,0.03,39.08668932,120.1739138,23.31763686
1,-4,0.031,46.16386758,120.1745802,23.31838137
1,-4,0.032,50.5152774,120.1753216,23.31905215
1,-4,0.033,53.65082809,120.1761112,23.31966535
1,-4,0.034,54.58720083,120.1769229,23.32024935
1,-4,0.035,55.12945039,120.1777405,23.32082511
1,-4,0.036,55.7022458,120.1785597,23.32139861
1,-4,0.037,51.87900164,120.1793661,23.32198906
1,-4,0.038,52.07687966,120.1801675,23.32258702
1,-4,0.039,51.04881293,120.1809345,23.3232283
1,-4,0.04,48.44739645,120.1816966,23.32387537
1,-4,0.041,45.01782758,120.1824292,23.32455575
1,-4,0.042,43.12981157,120.183124,23.3252748
1,-4,0.043,38.56225834,120.1837711,23.32603684
1,-4,0.044,32.99400257,120.1843591,23.32684508
1,-4,0.045,28.34272119,120.1848593,23.32771015
1,-4,0.046,22.76398782,120.1852849,23.32861401
1,-4,0.047,15.52207758,120.1856256,23.32955318
1,-4,0.048,9.414316372,120.1858531,23.33052621
1,-4,0.049,3.422826863,120.1859625,23.33151945
1,-4,0.05,359.0366821,120.1859706,23.33251909
1,-4,0.051,4.866671631,120.1859626,23.33351878
1,-4,0.052,43.58629359,120.1862024,23.33447338
1,-4,0.053,82.59536958,120.1870258,23.33495262
1,-4,0.054,117.3932242,120.1879747,23.33469938
1,-4,0.055,120.9980854,120.1888488,23.33421537
1,-4,0.056,114.9660645,120.189723,23.33373142
1,-4,0.057,108.2506173,120.190642,23.33333862
1,-4,0.058,100.7620773,120.1916031,23.33306512
1,-4,0.059,94.59218292,120.1925885,23.33289829
1,-4,0.06,87.40935838,120.1935867,23.33284856
1,-4,0.061,80.59604404,120.1945828,23.33292896
1,-4,0.062,73.45258772,120.1955609,23.33313338
1,-4,0.063,64.42035437,120.1965031,23.33346544
1,-4,0.064,61.81725467,120.1973996,23.33390679
1,-4,0.065,51.31739248,120.1982163,23.3344818
1,-4,0.066,44.13570331,120.1989598,23.33514954
1,-4,0.067,37.58877545,120.1996309,23.33588943
1,-4,0.068,36.65878586,120.200233,23.33668783
1,-4,0.069,34.63624798,120.2008044,23.33750838
1,-4,0.07,32.68542471,120.2013551,23.33834307
1,-4,0.071,33.72516865,120.2019029,23.33917962
1,-4,0.072,36.02777534,120.2024705,23.34000285
1,-4,0.073,39.9234477,120.2030754,23.34079891
1,-4,0.074,41.20184793,120.2037312,23.34155377
1,-4,0.075,50.60303135,120.2044641,23.34223274
