,parBETA,parFC,parLP,parPCORR,parK0,parUZL,parPERC0
0,1.0,73.38592345143906,1.0,0.2,0.4530422135898545,6.469796379125504,0.0
1,1.0,81.09821029320916,1.0,0.2,0.615059778474519,36.489982745601694,0.0
2,1.0,59.50998132583998,1.0,0.2,0.5483111513659411,6.441214153447901,0.0
3,1.0,62.93140675228661,1.0,0.2,0.6853501742129372,14.027231776800145,0.0
4,1.0,56.268118305948306,1.0,0.2,0.7374028365138959,2.8752581340375176,0.0
5,1.0,65.5005157956343,1.0,0.2,0.4271190393378776,10.697307436265788,0.0
6,1.0037563952053927,118.40056523450595,0.9782617159905883,0.16695792114972235,0.43893169835835216,66.2420145375401,1.092525494539422
7,1.0,72.7012540277219,0.9967470416463771,0.2,0.5906177215712295,2.352204340402805,0.0
8,1.0,95.22964924561131,1.0,0.2,0.7469542252605945,3.9648229916190694,0.0
9,1.0,61.66327034345277,1.0,0.2,0.6448178332054586,5.132473318813226,0.0
10,1.0,78.15502017592635,1.0,0.2,0.5646000859881463,11.089344317987841,0.0
11,1.0,102.5584639228716,1.0,0.2,0.45661827260554866,6.364681870857149,0.0
12,1.0,65.47916776912577,1.0,0.2,0.48951632055061833,3.4406083452443945,0.0
13,1.0,77.7002751381648,1.0,0.2,0.48592247886933343,9.2226245627405,0.0
14,1.0,50.62157598619419,0.9582210786922782,0.2,0.5137533425388386,2.7827958417013763,0.0
15,1.0,84.14472668652401,1.0,0.2,0.8799870870240174,9.155837947493929,0.0
16,2.4699628506921494,87.28137040332216,0.654905429894221,0.1710444880660373,0.885513965847163,10.830802043735128,0.0
17,1.4647668100119862,139.77514097524232,0.8658247127525681,0.19580169062911618,0.6394704585486203,8.99655049118891,0.06735086936204969
18,1.0,74.74428621964606,1.0,0.2,0.527663793447919,39.68652394542531,0.0
19,1.0,74.51176560760122,1.0,0.2,0.4720214893173622,14.200486797838977,0.0
20,1.0,106.97973563776543,1.0,0.2,0.574196569581837,2.9587837379422806,0.0
21,1.0,94.7345981411337,1.0,0.2,0.642494604043739,5.24013681044699,0.0
22,1.5721125533424927,314.1784059540401,0.5193570351813384,0.19452260244655112,0.180730506590013,1.8046138564137233,0.0
23,1.0,68.22183955976611,1.0,0.2,0.6792971516269332,5.210461586566775,0.0
24,1.0,86.9400163418407,1.0,0.2,0.9,7.395172504841867,0.0
25,1.4115251704072642,318.16180571701665,0.3041138303312187,0.19263581920808776,0.6105495103578836,11.694938607608023,0.11274035194246854
26,1.0024975591707432,86.359622214357,0.9994024988254084,0.19987839644370164,0.6915006353471712,3.329039796887966,0.0003576152676232634
27,1.0,91.051149332374,1.0,0.2,0.6504747469740516,7.60268940996108,0.0
28,1.000604908244353,80.62053332576033,0.9990022048612357,0.199951183685352,0.6725089356344666,12.632801238710577,0.0007345662583588819
29,1.0,95.77099711421504,1.0,0.2,0.6239058743193074,28.11021998993678,0.007441969616282501
30,1.8690336773505194,118.37145150755848,0.9807979652851034,0.2,0.4345048531492748,2.8737254900707327,0.0
31,2.6355702022926586,65.73908543918981,0.9686995550644167,0.19901586984367514,0.32215553351179077,1.9727748249984245,0.0008275267075035231
32,1.6012523730590282,80.3870909038348,0.7358129002937581,0.17479917123999233,0.5317003444096342,1.444469593183193,0.04103870235463791
